Cube,2.445,22.500,47.819,0.650
Dodecahedron,2.007,22.500,42.333,0.359
Dolos,2.371,6.985,27.726,1.909
Icosahedron,2.070,22.500,41.032,0.394
Jack0.92mm,2.321,35.591,59.933,0.351
Jack1.3mm,2.672,44.725,75.214,0.427
Jack2.6mm,3.915,75.981,129.254,0.790
Jack3.6mm,4.891,100.026,171.345,1.170
Octahedron,2.565,22.500,45.581,0.750
Sphere,1.761,22.732,38.850,0.240
TetFrame,3.526,11.912,65.454,3.681
Tetrahedron,3.526,22.500,57.428,1.949
TrTet,2.374,22.500,49.706,0.595
TriBiPyr,3.732,22.500,54.266,2.309
